1 5.0000 4.0000 5.0000 6.0000 4.0000 5.0000 5.0000 4.0000 3.0000 5.0000 4.0000 2.0000 6.0000 4.0000 4.0000 3.0000 5.0000 4.0000 3.0000 3.0000 3.0000 3.0000 4.0000 2.0000 2.0000 3.0000 3.0000 3.0000 7.0000 7.0000 7.0000 6.0000 2.0000 7.0000 6.0000 7.0000 6.0000 2.0000
2 4.0000 3.0000 3.0000 4.0000 4.0000 3.0000 6.0000 7.0000 7.0000 7.0000 5.0000 5.0000 5.0000 5.0000 4.0000 6.0000 5.0000 7.0000 4.0000 4.0000 4.0000 4.0000 3.0000 2.0000 2.0000 2.0000 1.0000 1.0000 4.0000 4.0000 6.0000 4.0000 3.0000 5.0000 4.0000 5.0000 6.0000 3.0000
3 5.0000 3.0000 6.0000 4.0000 4.0000 5.0000 3.0000 6.0000 5.0000 5.0000 7.0000 5.0000 5.0000 7.0000 6.0000 6.0000 4.0000 4.0000 6.0000 6.0000 6.0000 6.0000 6.0000 3.0000 3.0000 3.0000 3.0000 3.0000 5.0000 5.0000 5.0000 5.0000 1.0000 6.0000 6.0000 5.0000 6.0000 3.0000
4 4.0000 4.0000 5.0000 5.0000 3.0000 5.0000 3.0000 5.0000 4.0000 5.0000 5.0000 1.0000 4.0000 6.0000 4.0000 4.0000 2.0000 5.0000 5.0000 3.0000 5.0000 4.0000 4.0000 4.0000 4.0000 4.0000 4.0000 3.0000 5.0000 4.0000 5.0000 4.0000 4.0000 6.0000 5.0000 6.0000 5.0000 3.0000
5 2.0000 3.0000 4.0000 3.0000 3.0000 4.0000 7.0000 6.0000 7.0000 6.0000 5.0000 3.0000 6.0000 6.0000 5.0000 5.0000 7.0000 7.0000 3.0000 4.0000 3.0000 3.0000 3.0000 1.0000 1.0000 1.0000 1.0000 1.0000 5.0000 5.0000 6.0000 6.0000 3.0000 5.0000 6.0000 5.0000 4.0000 3.0000
6 4.0000 5.0000 5.0000 6.0000 5.0000 6.0000 4.0000 5.0000 6.0000 5.0000 4.0000 5.0000 4.0000 5.0000 4.0000 4.0000 4.0000 7.0000 4.0000 2.0000 2.0000 3.0000 3.0000 3.0000 3.0000 3.0000 2.0000 3.0000 4.0000 4.0000 5.0000 5.0000 3.0000 5.0000 6.0000 6.0000 6.0000 3.0000
7 3.0000 3.0000 4.0000 5.0000 4.0000 5.0000 6.0000 4.0000 5.0000 6.0000 6.0000 6.0000 1.0000 5.0000 7.0000 7.0000 7.0000 5.0000 4.0000 6.0000 3.0000 5.0000 5.0000 4.0000 5.0000 5.0000 4.0000 5.0000 3.0000 4.0000 4.0000 4.0000 5.0000 4.0000 4.0000 4.0000 4.0000 5.0000
8 5.0000 4.0000 5.0000 6.0000 5.0000 4.0000 5.0000 5.0000 4.0000 3.0000 5.0000 5.0000 5.0000 7.0000 7.0000 7.0000 6.0000 6.0000 5.0000 5.0000 3.0000 4.0000 5.0000 3.0000 3.0000 5.0000 3.0000 3.0000 3.0000 4.0000 4.0000 4.0000 4.0000 4.0000 5.0000 4.0000 5.0000 4.0000
9 4.0000 4.0000 4.0000 4.0000 4.0000 5.0000 6.0000 5.0000 5.0000 4.0000 6.0000 3.0000 4.0000 4.0000 4.0000 3.0000 3.0000 7.0000 5.0000 5.0000 5.0000 4.0000 6.0000 3.0000 3.0000 3.0000 2.0000 3.0000 6.0000 4.0000 5.0000 4.0000 5.0000 4.0000 6.0000 5.0000 5.0000 4.0000
10 4.0000 6.0000 6.0000 5.0000 6.0000 5.0000 5.0000 7.0000 5.0000 4.0000 4.0000 3.0000 6.0000 4.0000 5.0000 5.0000 6.0000 5.0000 6.0000 6.0000 5.0000 6.0000 6.0000 6.0000 5.0000 5.0000 6.0000 5.0000 4.0000 5.0000 5.0000 5.0000 4.0000 4.0000 4.0000 4.0000 4.0000 4.0000
