"model","chisq","df","cfi","tli","rmsea","srmrw","srmrb","aic"
"5-factor hypothesized",896.454111302497,1310,1,1.0550198141672,0,0.0433010085018733,0.187470597661818,35704.9259122831
"4-factor (BEN+MAL)",2013.71074582058,1318,0.913759731890639,0.908001656326433,0.039401902505453,0.135238507628946,0.151217509645703,36806.1825468012
"2-factor",3114.31372024995,1328,0.778568643524281,0.765562886140918,0.0628985119341482,0.138797018895686,0.233023121935358,37886.7855212306
"1-factor",5020.41007454233,1330,0.542536957817675,0.516396212550114,0.0903383251506626,0.209330961352092,0.568609205572818,39788.8818755229
