"model","eq","term","b","se","p"
"M1","CWBS","Empowering_c",0.0201479463121346,0.0628338249081913,0.748669308367076
"M1","CWBS","Narcissism_c",0.0478779612097976,0.0553300202406596,0.387476289467422
"M1","CWBS","PowerDistance_c",-0.00137839768027436,0.055440780458484,0.980179223451299
"M1","CWBS","FollowerAge_c",-0.0035088412680256,0.0102901754966228,0.733330027381097
"M1","CWBS","Gender_Male",0.0190639660514921,0.0953164845751758,0.841600078510559
"M1","CWBS","TenureWithLeader_c",-0.0346426299952983,0.0321720170757812,0.282377359986159
"M1","CWBS","InteractionFreq_c",-0.00686117059109004,0.043069419387733,0.873531311210092
"M2","BE_main","(Intercept)",4.30740026289345e-17,0.05356263539244,0.999999999999999
"M2","BE_main","Autocratic_c",-0.493785984198801,0.0637280928300898,1.0846229149441e-13
"M2","BE_main","Empowering_c",0.523658801252263,0.0594996396035777,6.97316961973432e-17
"M2","BE_main","Narcissism_c",-0.0511276800769229,0.060771612084081,0.400766383829605
"M2","BE_main","PowerDistance_c",-0.0753676028074454,0.0604777419349465,0.213547479363659
"M2","BE_int","(Intercept)",-0.00756357762293572,0.0533993096310984,0.887446787635413
"M2","BE_int","Autocratic_c",-0.498973836077801,0.0636375820815712,5.82485656604969e-14
"M2","BE_int","Narcissism_c",-0.0563488441185775,0.060725566550657,0.354104109937183
"M2","BE_int","Empowering_c",0.520637758184306,0.0595113721485688,1.02002384002222e-16
"M2","BE_int","PowerDistance_c",-0.0895197904262301,0.0603714804736248,0.139049631724225
"M2","BE_int","Autocratic_c:Narcissism_c",-0.0377477804584358,0.0749709189701237,0.614939551345175
"M2","BE_int","Narcissism_c:Empowering_c",0.034850116520668,0.0751439602486194,0.643103569217895
"M2","BE_int","Autocratic_c:PowerDistance_c",-0.0299560340713475,0.0667251632123859,0.653756201304472
"M2","BE_int","Empowering_c:PowerDistance_c",-0.156553303811118,0.0630047209315627,0.0134434492203946
"M2","ME_main","(Intercept)",-1.69348732930616e-16,0.0509330688424188,0.999999999999997
"M2","ME_main","Autocratic_c",0.576515708031574,0.0605994704242867,3.50407586856727e-19
"M2","ME_main","Empowering_c",-0.400761687181173,0.0565786059222894,8.14319217267882e-12
"M2","ME_main","Narcissism_c",0.0601030881267903,0.0577881330756953,0.29905135684258
"M2","ME_main","PowerDistance_c",0.0715371875537716,0.0575086899820735,0.214379671140357
"M2","ME_int","(Intercept)",-0.00706655232837177,0.0505391612274083,0.888882393708924
"M2","ME_int","Autocratic_c",0.597019145531238,0.0602290562024407,1.63587395400339e-20
"M2","ME_int","Narcissism_c",0.0528755929549532,0.0574730126612358,0.358221193639421
"M2","ME_int","Empowering_c",-0.396061840308687,0.0563238523617398,1.12425952523216e-11
"M2","ME_int","PowerDistance_c",0.07882764270231,0.057137891974112,0.168615362220988
"M2","ME_int","Autocratic_c:Narcissism_c",0.0608963780026453,0.0709553622953854,0.391367296105887
