"model","key","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"M1","BE|Autocratic|Narcissism",-0.0420246914250089,0.074918335449467,0.575209008363287,-0.188864628905964,0.104815246055946,-0.539829400774934,0.0940890196183358,2.13204307629293e-08,-0.724243879226873,-0.355414922322996,-0.465362870741535,0.0902308483254235,4.26621719650753e-07,-0.642215333459365,-0.288510408023705,-0.0744665300333993,0.130362378017069,0.568224172243796,-0.329976790946854,0.181043730880056
"M1","BE|Autocratic|PowerDistance",-0.0233889997586958,0.0670087470494783,0.727272990672266,-0.154726143975673,0.107948144458282,-0.523394041747544,0.0849193445303971,2.02080408588235e-09,-0.689835957027122,-0.356952126467965,-0.481798229768926,0.089845351221235,1.52179270452742e-07,-0.657895118162547,-0.305701341375305,-0.0415958119786177,0.123626381535412,0.736729264024509,-0.283903519788026,0.200711895830791
"M1","BE|Empowering|Narcissism",0.0308104650864912,0.0750149570563034,0.681534199850668,-0.116218850743864,0.177839780916846,0.547521730931858,0.0938825343422039,1.2779134187958e-08,0.363511963621138,0.731531498242578,0.492926483568761,0.0842764064436819,1.16515574026437e-08,0.327744726939144,0.658108240198377,0.0545952473630975,0.126160385769764,0.665475374489204,-0.192679108745641,0.301869603471836
"M1","BE|Empowering|PowerDistance",-0.153270602406397,0.0632207497180811,0.0158572803040423,-0.277183271853836,-0.029357932958958,0.383933217829619,0.0827792707134978,5.02993918145769e-06,0.221685847231163,0.546180588428074,0.656514996671,0.0809339121410553,9.25152681316717e-15,0.497884528874532,0.815145464467468,-0.272581778841381,0.115770055689348,0.019116963959462,-0.499491087992503,-0.0456724696902603
"M1","ME|Autocratic|Narcissism",0.0591727879370511,0.071004107788109,0.405222114304916,-0.0799952633276424,0.198340839201745,0.645189847145538,0.0891731890541535,3.12402291172095e-12,0.470410396599397,0.819969297691679,0.540337389205724,0.0855165940603725,8.3045711408643e-10,0.372724864847394,0.707949913564054,0.104852457939814,0.123551388117553,0.396672347575977,-0.137308262770591,0.347013178650218
"M1","ME|Autocratic|PowerDistance",-0.129949090102841,0.0635077684214771,0.0415085780176638,-0.254424316208936,-0.00547386399674606,0.477210623723601,0.0804825982338983,7.4932027002678e-09,0.31946473118516,0.634956516262042,0.708316612627661,0.0851512378658763,2.20147786318717e-15,0.541420186410543,0.875213038844778,-0.23110598890406,0.117167324491814,0.0493712900085135,-0.460753944908016,-0.00145803290010363
"M1","ME|Empowering|Narcissism",0.0718121709077235,0.0710956812453316,0.313178405647472,-0.0675353643331265,0.211159706148573,-0.333374210144867,0.0889774919298759,0.000210509277370466,-0.507770094327423,-0.15897832596231,-0.460623286826516,0.0798732514707017,1.81866596625989e-08,-0.617174859709091,-0.30407171394394,0.127249076681649,0.119568935642303,0.287981102461845,-0.107106037177264,0.361604190540562
"M1","ME|Empowering|PowerDistance",0.0589711135681006,0.0599176810389162,0.325718005681408,-0.0584675412681752,0.176409768404376,-0.344560607106079,0.0784543359792982,1.50424280246234e-05,-0.498331105625503,-0.190790108586655,-0.449436889865304,0.0767053911021953,1.10119580827288e-08,-0.599779456425606,-0.299094323305001,0.104876282759224,0.109721464892214,0.33983364997849,-0.110177788429515,0.319930353947964
"M2","BE|Autocratic|Narcissism",-0.0377477804584358,0.0749709189701237,0.614940512692605,-0.184690781639878,0.109195220723007,-0.532417820220056,0.0936090731574888,2.78390254755604e-08,-0.715891603608734,-0.348944036831378,-0.465529851935547,0.0903376611502779,4.35687468660137e-07,-0.642591667790092,-0.288468036081002,-0.066887968284509,0.130090551538175,0.607471853719614,-0.321865449299332,0.188089512730314
"M2","BE|Autocratic|PowerDistance",-0.0299560340713475,0.0667251632123859,0.653757044623898,-0.160737353967624,0.100825285824929,-0.525611263366533,0.0849804435061527,1.78655901404022e-09,-0.692172932638592,-0.359049594094474,-0.47233640878907,0.0889868518704086,2.00856334880286e-07,-0.646750638455071,-0.297922179123069,-0.0532748545774629,0.123046070982817,0.665314276606512,-0.294445153703784,0.187895444548858
"M2","BE|Empowering|Narcissism",0.034850116520668,0.0751439602486194,0.643104444259853,-0.112432045566626,0.182132278607962,0.551514454247438,0.0940713837531518,1.08054554647024e-08,0.36713454209126,0.735894366403615,0.489761062121174,0.0842533700527546,1.41732374683897e-08,0.324624456817775,0.654897667424573,0.0617533921262634,0.126285611240866,0.62515943330565,-0.185766405905834,0.309273190158361
"M2","BE|Empowering|PowerDistance",-0.156553303811118,0.0630047209315627,0.0134448764183941,-0.280042556836981,-0.0330640507852548,0.38142783349444,0.0827279354009134,5.69589132483323e-06,0.21928108010865,0.543574586880231,0.659847682874171,0.0807271535645994,6.02527508718727e-15,0.501622461887557,0.818072903860786,-0.278419849379731,0.115588860269232,0.0165420600475666,-0.504974015507426,-0.0518656832520356
"M2","ME|Autocratic|Narcissism",0.0608963780026453,0.0709553622953854,0.391369078422429,-0.07817613209631,0.199968888101601,0.650972450215833,0.0885952285401723,1.51805071712741e-12,0.477325802277095,0.824619098154571,0.543065840846642,0.0854990383456567,6.84991583303479e-10,0.375487725689155,0.710643956004129,0.107906609369191,0.123122703341494,0.381424960903819,-0.133413889180136,0.349227107918518
"M2","ME|Autocratic|PowerDistance",-0.137901275546941,0.0631512617824558,0.0296718845287971,-0.261677748640554,-0.0141248024533279,0.474394929266293,0.0804287614428803,8.88964838104775e-09,0.316754556838248,0.632035301694339,0.719643361796182,0.0842205804694328,4.44691536262485e-16,0.554571024076094,0.884715699516271,-0.245248432529889,0.116455535900377,0.0359444400988962,-0.473501282894628,-0.0169955821651504
"M2","ME|Empowering|Narcissism",0.0729877271641603,0.0711191352192922,0.305494125024726,-0.0664057778656524,0.212381232193973,-0.331395776232544,0.0890327770757764,0.000231176584109351,-0.505900019301066,-0.156891533164022,-0.460727904384829,0.0797406311516967,1.71459573223641e-08,-0.617019541442155,-0.304436267327504,0.129332128152285,0.119521561445188,0.279985208655077,-0.104930132280283,0.363594388584854
